x,y,fixation
375.0,375.0,100
90.0,186.0,100
819.0,459.0,100
-33.0,37.0,100
774.0,421.0,100
553.0,415.0,100
151.0,235.0,100
126.0,258.0,100
35.0,185.0,100
34.0,192.0,100
88.0,143.0,100
36.0,180.0,100
131.0,228.0,100
284.0,144.0,100
377.0,387.0,100
655.0,185.0,100
403.0,216.0,100
332.0,319.0,100
603.0,215.0,100
581.0,159.0,100
483.0,253.0,100
382.0,78.0,100
361.0,229.0,100
884.0,381.0,100
776.0,418.0,100
907.0,429.0,100
97.0,215.0,100
566.0,140.0,100
549.0,150.0,100
433.0,166.0,100
406.0,184.0,100
394.0,196.0,100
297.0,173.0,100
440.0,200.0,100
294.0,147.0,100
335.0,492.0,100
660.0,514.0,100
835.0,122.0,100
61.0,197.0,100
130.0,184.0,100
115.0,209.0,100
83.0,259.0,100
644.0,171.0,100
338.0,159.0,100
310.0,177.0,100
461.0,197.0,100
580.0,200.0,100
472.0,225.0,100
504.0,317.0,100
518.0,205.0,100
369.0,176.0,100
420.0,90.0,100
1055.0,62.0,100
368.0,413.0,100
385.0,463.0,100
395.0,454.0,100
1085.0,97.0,100
465.0,134.0,100
450.0,196.0,100
629.0,186.0,100
536.0,542.0,100
216.0,529.0,100
306.0,539.0,100
402.0,228.0,100
455.0,284.0,100
342.0,148.0,100
785.0,392.0,200
580.0,430.0,100
304.0,16.0,100
523.0,259.0,100
526.0,464.0,100
102.0,290.0,100
83.0,293.0,100
460.0,214.0,100
596.0,131.0,100
379.0,339.0,100
325.0,358.0,100
259.0,174.0,100
264.0,371.0,100
435.0,288.0,100
365.0,176.0,100
460.0,425.0,100
701.0,477.0,100
499.0,93.0,100
355.0,338.0,100
1045.0,54.0,100
203.0,210.0,100
39.0,178.0,100
560.0,245.0,100
743.0,78.0,100
174.0,203.0,100
696.0,316.0,100
119.0,228.0,100
77.0,164.0,100
109.0,159.0,100
190.0,181.0,100
419.0,191.0,100
548.0,185.0,100
445.0,482.0,100
293.0,117.0,100
370.0,215.0,100
505.0,169.0,100
525.0,289.0,100
391.0,188.0,100
401.0,93.0,100
1003.0,101.0,100
231.0,486.0,100
540.0,500.0,100
549.0,555.0,100
852.0,422.0,100
540.0,240.0,100
682.0,419.0,100
800.0,364.0,100
237.0,-23.0,100
81.0,251.0,100
84.0,252.0,100
106.0,276.0,100
447.0,143.0,100
460.0,116.0,100
289.0,347.0,100
307.0,312.0,100
272.0,194.0,100
877.0,280.0,100
502.0,79.0,100
72.0,184.0,100
428.0,258.0,100
210.0,251.0,100
114.0,209.0,100
116.0,278.0,100
715.0,158.0,100
305.0,129.0,100
620.0,201.0,100
261.0,274.0,100
281.0,277.0,100
536.0,177.0,100
539.0,300.0,100
382.0,154.0,100
347.0,152.0,100
379.0,136.0,100
394.0,112.0,100
411.0,104.0,100
957.0,110.0,100
464.0,173.0,100
486.0,182.0,100
363.0,371.0,100
565.0,405.0,100
338.0,185.0,100
383.0,199.0,100
149.0,241.0,100
1006.0,417.0,100
556.0,450.0,100
546.0,474.0,100
455.0,266.0,100
806.0,352.0,100
513.0,328.0,100
103.0,238.0,100
143.0,154.0,100
266.0,177.0,100
458.0,120.0,100
410.0,222.0,100
383.0,157.0,100
320.0,381.0,100
581.0,240.0,100
463.0,503.0,100
440.0,536.0,100
672.0,348.0,100
342.0,152.0,100
267.0,462.0,100
264.0,382.0,100
425.0,50.0,100
297.0,199.0,100
213.0,233.0,100
100.0,273.0,100
432.0,200.0,100
395.0,175.0,100
379.0,287.0,100
386.0,235.0,100
378.0,337.0,100
270.0,309.0,100
526.0,162.0,100
528.0,289.0,100
433.0,205.0,100
396.0,100.0,100
340.0,252.0,100
571.0,356.0,100
621.0,392.0,100
611.0,444.0,100
554.0,524.0,100
548.0,459.0,100
256.0,-52.0,100
637.0,344.0,100
506.0,447.0,100
804.0,351.0,100
86.0,291.0,100
571.0,139.0,100
430.0,189.0,100
1136.0,66.0,100
1004.0,153.0,100
